=============real-madrid=================
30/01/13, Copa,, Real Madrid, Barcelona, 7, 3
26/01/13, PrimD,21, Real Madrid, Getafe, 11, 3
23/01/13, Copa,, Valencia, Real Madrid, 9, 5
20/01/13, PrimD,20, Valencia, Real Madrid, ?, ?
12/01/13, PrimD,19, Osasuna, Real Madrid, 7, 6
09/01/13, Copa,, Real Madrid, Celta Vigo, ?, ?
05/01/13, PrimD,18, Real Madrid, Real Sociedad, 4, 9
21/12/12, PrimD,17, Malaga, Real Madrid, 6, 7
16/12/12, PrimD,16, Real Madrid, Espanyol, ?, ?
12/12/12, Copa,, Celta Vigo, Real Madrid, 7, 4
08/12/12, PrimD,15, Valladolid, Real Madrid, 6, 11
04/12/12, UEFACL,6, Real Madrid, Ajax, ?, ?
01/12/12, PrimD,14, Real Madrid, Atletico Madrid, 4, 3
27/11/12, Copa,, Real Madrid, CD Alcoyano, 4, 3
24/11/12, PrimD,13, Real Betis, Real Madrid, 1, 10
21/11/12, UEFACL,5, Man City, Real Madrid, 4, 2
17/11/12, PrimD,12, Real Madrid, Athletic Bilbao, 11, 4
11/11/12, PrimD,11, Levante, Real Madrid, 2, 8
06/11/12, UEFACL,4, Real Madrid, Borussia Dortmu, 4, 2
03/11/12, PrimD,10, Real Madrid, Real Zaragoza, 5, 4
31/10/12, Copa,, CD Alcoyano, Real Madrid, 11, 0
28/10/12, PrimD,9, Mallorca, Real Madrid, 8, 6
24/10/12, UEFACL,3, Borussia Dortmu, Real Madrid, 8, 4
20/10/12, PrimD,8, Real Madrid, Celta Vigo, 11, 5
07/10/12, PrimD,7, Barcelona, Real Madrid, 7, 2
03/10/12, UEFACL,2, Ajax, Real Madrid, 4, 6
30/09/12, PrimD,6, Real Madrid, D Coruna, 12, 2
24/09/12, PrimD,5, Rayo Vallecano, Real Madrid, 5, 6
18/09/12, UEFACL,1, Real Madrid, Man City, 7, 3
15/09/12, PrimD,4, Sevilla, Real Madrid, 3, 4
02/09/12, PrimD,3, Real Madrid, Granada, 6, 3
29/08/12, SupCup,, Real Madrid, Barcelona, 2, 6
26/08/12, PrimD,2, Getafe, Real Madrid, 3, 7
23/08/12, SupCup,, Barcelona, Real Madrid, 7, 7
19/08/12, PrimD,1, Real Madrid, Valencia, 12, 5
13/05/12, PrimD,38, Real Madrid, Mallorca, 8, 6
05/05/12, PrimD,37, Granada, Real Madrid, 4, 6
02/05/12, PrimD,20, Athletic Bilbao, Real Madrid, 4, 8
29/04/12, PrimD,36, Real Madrid, Sevilla, 9, 4
25/04/12, UEFACL,, Real Madrid, Bayern Munich, 4, 3
21/04/12, PrimD,35, Barcelona, Real Madrid, 4, 7
17/04/12, UEFACL,, Bayern Munich, Real Madrid, 6, 4
14/04/12, PrimD,34, Real Madrid, Sporting Gijon, 5, 1
11/04/12, PrimD,33, Atletico Madrid, Real Madrid, 7, 8
08/04/12, PrimD,32, Real Madrid, Valencia, 11, 5
04/04/12, UEFACL,, Real Madrid, Apoel Nicosia, 6, 3
31/03/12, PrimD,31, Osasuna, Real Madrid, 3, 4
27/03/12, UEFACL,, Apoel Nicosia, Real Madrid, 1, 4
24/03/12, PrimD,30, Real Madrid, Real Sociedad, 9, 3
21/03/12, PrimD,29, Villarreal, Real Madrid, 5, 8
18/03/12, PrimD,28, Real Madrid, Malaga, 5, 3
14/03/12, UEFACL,, Real Madrid, CSKA Moscow, 4, 3
10/03/12, PrimD,27, Real Betis, Real Madrid, 3, 5
04/03/12, PrimD,26, Real Madrid, Espanyol, 9, 3
26/02/12, PrimD,25, Rayo Vallecano, Real Madrid, 12, 5
21/02/12, UEFACL,, CSKA Moscow, Real Madrid, 1, 8
18/02/12, PrimD,24, Real Madrid, Racing Santande, 6, 4
12/02/12, PrimD,23, Real Madrid, Levante, 14, 1
04/02/12, PrimD,22, Getafe, Real Madrid, 3, 8
28/01/12, PrimD,21, Real Madrid, Real Zaragoza, 3, 4
25/01/12, Copa,, Barcelona, Real Madrid, 3, 5
22/01/12, PrimD,1, Real Madrid, Athletic Bilbao, 4, 6
18/01/12, Copa,, Real Madrid, Barcelona, 1, 8
14/01/12, PrimD,19, Mallorca, Real Madrid, 4, 5
10/01/12, Copa,, Malaga, Real Madrid, 6, 7
07/01/12, PrimD,18, Real Madrid, Granada, 9, 9
03/01/12, Copa,, Real Madrid, Malaga, 10, 2
20/12/11, Copa,, Real Madrid, Ponferradina, 4, 4
17/12/11, PrimD,17, Sevilla, Real Madrid, 3, 3
13/12/11, Copa,, Ponferradina, Real Madrid, 6, 4
10/12/11, PrimD,16, Real Madrid, Barcelona, 3, 5
07/12/11, UEFACL,6, Ajax, Real Madrid, 5, 2
03/12/11, PrimD,15, Sporting Gijon, Real Madrid, 2, 8
26/11/11, PrimD,14, Real Madrid, Atletico Madrid, 2, 2
22/11/11, UEFACL,5, Real Madrid, Dinamo Zagreb, 7, 2
19/11/11, PrimD,13, Valencia, Real Madrid, 5, 2
06/11/11, PrimD,12, Real Madrid, Osasuna, 6, 1
02/11/11, UEFACL,4, Lyon, Real Madrid, 6, 8
29/10/11, PrimD,11, Real Sociedad, Real Madrid, 3, 5
26/10/11, PrimD,10, Real Madrid, Villarreal, 4, 5
22/10/11, PrimD,9, Malaga, Real Madrid, 6, 1
18/10/11, UEFACL,3, Real Madrid, Lyon, ?, ?
15/10/11, PrimD,8, Real Madrid, Real Betis, 2, 0
02/10/11, PrimD,7, Espanyol, Real Madrid, 9, 5
27/09/11, UEFACL,2, Real Madrid, Ajax, 1, 6
24/09/11, PrimD,6, Real Madrid, Rayo Vallecano, 7, 6
21/09/11, PrimD,5, Racing Santande, Real Madrid, 2, 10
18/09/11, PrimD,4, Levante, Real Madrid, 3, 6
14/09/11, UEFACL,1, Dinamo Zagreb, Real Madrid, 11, 6
10/09/11, PrimD,3, Real Madrid, Getafe, 4, 6
28/08/11, PrimD,2, Real Zaragoza, Real Madrid, 7, 9
17/08/11, SupCup,, Barcelona, Real Madrid, ?, ?
14/08/11, SupCup,, Real Madrid, Barcelona, ?, ?
21/05/11, PrimD,38, Real Madrid, Almeria, 15, 6
15/05/11, PrimD,37, Villarreal, Real Madrid, 4, 4
10/05/11, PrimD,36, Real Madrid, Getafe, 7, 4
07/05/11, PrimD,35, Sevilla, Real Madrid, 5, 4
03/05/11, UEFACL,, Barcelona, Real Madrid, 3, 2
30/04/11, PrimD,34, Real Madrid, Real Zaragoza, 7, 5
27/04/11, UEFACL,, Real Madrid, Barcelona, 1, 1
23/04/11, PrimD,33, Valencia, Real Madrid, 11, 7
20/04/11, Copa,, Barcelona, Real Madrid, ?, ?
16/04/11, PrimD,32, Real Madrid, Barcelona, 8, 0
13/04/11, UEFACL,, Tottenham, Real Madrid, 4, 5
09/04/11, PrimD,31, Athletic Bilbao, Real Madrid, 8, 1
05/04/11, UEFACL,, Real Madrid, Tottenham, 9, 3
02/04/11, PrimD,30, Real Madrid, Sporting Gijon, 10, 1
19/03/11, PrimD,29, Atletico Madrid, Real Madrid, 12, 1
16/03/11, UEFACL,, Real Madrid, Lyon, 9, 4
12/03/11, PrimD,28, Real Madrid, Hércules CF, 8, 7
06/03/11, PrimD,27, Racing Santande, Real Madrid, 3, 3
03/03/11, PrimD,26, Real Madrid, Malaga, 5, 2
26/02/11, PrimD,25, D Coruna, Real Madrid, 4, 11
22/02/11, UEFACL,, Lyon, Real Madrid, 5, 4
19/02/11, PrimD,24, Real Madrid, Levante, 13, 2
13/02/11, PrimD,23, Espanyol, Real Madrid, 5, 9
06/02/11, PrimD,22, Real Madrid, Real Sociedad, 11, 3
02/02/11, Copa,, Real Madrid, Sevilla, ?, ?
30/01/11, PrimD,21, Osasuna, Real Madrid, 5, 5
26/01/11, Copa,, Sevilla, Real Madrid, ?, ?
23/01/11, PrimD,20, Real Madrid, Mallorca, 12, 5
20/01/11, Copa,, Atletico Madrid, Real Madrid, ?, ?
16/01/11, PrimD,19, Almeria, Real Madrid, 1, 12
13/01/11, Copa,, Real Madrid, Atletico Madrid, ?, ?
09/01/11, PrimD,18, Real Madrid, Villarreal, 6, 3
06/01/11, Copa,, Levante, Real Madrid, ?, ?
03/01/11, PrimD,17, Getafe, Real Madrid, 3, 2
22/12/10, Copa,, Real Madrid, Levante, ?, ?
19/12/10, PrimD,16, Real Madrid, Sevilla, 8, 3
12/12/10, PrimD,15, Real Zaragoza, Real Madrid, 5, 5
08/12/10, UEFACL,, Real Madrid, Auxerre, 3, 4
04/12/10, PrimD,14, Real Madrid, Valencia, 12, 7
29/11/10, PrimD,13, Barcelona, Real Madrid, 3, 6
23/11/10, UEFACL,, Ajax, Real Madrid, ?, ?
20/11/10, PrimD,12, Real Madrid, Athletic Bilbao, 4, 6
14/11/10, PrimD,11, Sporting Gijon, Real Madrid, 2, 9
07/11/10, PrimD,10, Real Madrid, Atletico Madrid, 3, 7
03/11/10, UEFACL,, AC Milan, Real Madrid, 2, 7
30/10/10, PrimD,9, Hércules CF, Real Madrid, 3, 6
23/10/10, PrimD,8, Real Madrid, Racing Santande, 4, 4
19/10/10, UEFACL,, Real Madrid, AC Milan, 8, 6
16/10/10, PrimD,7, Malaga, Real Madrid, 4, 7
03/10/10, PrimD,6, Real Madrid, D Coruna, 4, 1
25/09/10, PrimD,5, Levante, Real Madrid, 2, 6
21/09/10, PrimD,4, Real Madrid, Espanyol, 8, 5
18/09/10, PrimD,3, Real Sociedad, Real Madrid, 8, 3
11/09/10, PrimD,2, Real Madrid, Osasuna, 9, 3
29/08/10, PrimD,1, Mallorca, Real Madrid, 1, 4
=============las-palmas=================
06/05/17, PrimD,36, Sporting Gijon, Las Palmas, ?, ?
29/04/17, PrimD,35, Las Palmas, Atletico Madrid, 7, 1
26/04/17, PrimD,34, Leganes, Las Palmas, 6, 3
23/04/17, PrimD,33, Las Palmas, CD Alaves, 3, 9
14/04/17, PrimD,32, Athletic Bilbao, Las Palmas, 14, 5
09/04/17, PrimD,31, Las Palmas, Real Betis, 2, 6
06/04/17, PrimD,30, Eibar, Las Palmas, 9, 2
03/04/17, PrimD,29, Celta Vigo, Las Palmas, 4, 6
17/03/17, PrimD,28, Las Palmas, Villarreal, 8, 5
10/03/17, PrimD,27, Espanyol, Las Palmas, 2, 5
05/03/17, PrimD,26, Las Palmas, Osasuna, 5, 1
01/03/17, PrimD,25, Real Madrid, Las Palmas, 7, 4
24/02/17, PrimD,24, Las Palmas, Real Sociedad, 6, 1
